Frente,Módulo,Aula,Nome,Tempo,Relevância
Frente A - As Teorias Sociológicas,,,,,
A,1,1,Positivismo e Revolução Industrial,00:19:32,5
A,1,2,As Filosofias Sociais do Século XIX,00:20:49,5
A,1,3,Positivismo,00:20:42,5
A,2,4,Durkheim e a Sociologia Funcionalista,00:24:50,5
A,2,5,Os Fatos Sociais,00:21:14,5
A,3,6,Ação Social,00:23:21,5
A,3,7,O Tipo Ideal,00:15:01,5
A,3,8,Ética Protestante e o Espírito Capitalista,00:18:07,5
A,4,9,Karl Marx e o Materialismo Histórico,00:27:33,5
A,4,10,Mais-valia e Alienação,00:15:49,5
A,4,11,Infraestrutura e superestrutura,00:17:01,5
,,,,,
Frente B - A Modernidade,,,,,
B,1,1,A Construção da Modernidade,00:28:56,5
B,1,2,Modernidade Líquida (Bauman),00:26:53,5
B,2,3,Trabalho - economia e sociedade,00:23:28,5
,,,,,
Frente C - Aspectos Culturais,,,,,
C,1,1,O Universo da Cultura,00:21:20,5
C,2,2,Teoria Crítica e Indústria Cultural,00:15:05,5
C,3,3,Descolonização e Estudos Pós-Coloniais,00:13:19,5
C,4,4,Sociologia da Religião,00:14:36,5
C,5,5,O Conceito de Poder,00:19:16,5
C,5,6,Democracia e Cidadania no Brasil,00:30:39,5
